Product Name,Category,Original Price (₹),Discounted Price (₹),Discount Amount (₹),Discount (%),Rating,Star Product
"Ambrane 60W / 3A Type C Fast Charging Unbreakable 1.5m L Shaped Braided Cable, PD Technology, 480Mbps Data Transfer for Smartphones, Tablet, Laptops & other type c devices (ABLC10, Black)",Computers&Accessories,499.0,179.0,320.0,64.12825651302605,4.0,False
"Zoul USB C 60W Fast Charging 3A 6ft/2M Long Type C Nylon Braided Data Cable Quick Charger Cable QC 3.0 for Samsung Galaxy M31S M30 S10 S9 S20 Plus, Note 10 9 8, A20e A40 A50 A70 (2M, Grey)",Computers&Accessories,1099.0,389.0,710.0,64.60418562329392,4.3,False
"Samsung Original Type C to C Cable - 3.28 Feet (1 Meter), White",Computers&Accessories,599.0,599.0,0.0,0.0,4.3,False
"pTron Solero T351 3.5Amps Fast Charging Type-C to Type-C PD Data & Charging USB Cable, Made in India, 480Mbps Data Sync, Durable 1 Meter Long Cable for Type-C Smartphones, Tablets & Laptops (Black)",Computers&Accessories,999.0,199.0,800.0,80.08008008008008,3.9,False
"pTron Solero MB301 3A Micro USB Data & Charging Cable, Made in India, 480Mbps Data Sync, Strong & Durable 1.5-Meter Nylon Braided USB Cable for Micro USB Devices - (Black)",Computers&Accessories,666.66,99.0,567.66,85.14985149851498,3.9,False
"Amazonbasics Nylon Braided Usb-C To Lightning Cable, Fast Charging Mfi Certified Smartphone, Iphone Charger (6-Foot, Dark Grey)",Computers&Accessories,1900.0,899.0,1001.0,52.68421052631579,4.4,False
"Sounce 65W OnePlus Dash Warp Charge Cable, 6.5A Type-C to USB C PD Data Sync Fast Charging Cable Compatible with One Plus 8T/ 9/ 9R/ 9 pro/ 9RT/ 10R/ Nord & for All Type C Devices â€“ Red, 1 Meter",Computers&Accessories,999.0,199.0,800.0,80.08008008008008,4.0,False
OnePlus 126 cm (50 inches) Y Series 4K Ultra HD Smart Android LED TV 50Y1S Pro (Black),Electronics,45999.0,32999.0,13000.0,28.261483945303155,4.2,False
"Duracell Type C To Type C 5A (100W) Braided Sync & Fast Charging Cable, 3.9 Feet (1.2M). USB C to C Cable, Supports PD & QC 3.0 Charging, 5 GBPS Data Transmission â€“ Black",Computers&Accessories,1999.0,970.0,1029.0,51.475737868934466,4.2,False
"AmazonBasics USB 2.0 Cable - A-Male to B-Male - for Personal Computer, Printer- 6 Feet (1.8 Meters), Black",Computers&Accessories,695.0,209.0,486.0,69.92805755395683,4.5,True
Mi 108 cm (43 inches) Full HD Android LED TV 4C | L43M6-INC (Black),Electronics,34999.0,19999.0,15000.0,42.8583673819252,4.3,False
"Wayona Nylon Braided 3A Lightning to USB A Syncing and Fast Charging Data Cable for iPhone, Ipad (3 FT Pack of 1, Black)",Computers&Accessories,1099.0,399.0,700.0,63.69426751592356,4.2,False
"TP-Link Nano AC600 USB Wi-Fi Adapter(Archer T2U Nano)- 2.4G/5G Dual Band Wireless Network Adapter for PC Desktop Laptop, Mini Travel Size, Supports Windows 11,10, 8.1, 8, 7, XP/Mac OS 10.9-10.15",Computers&Accessories,1599.0,999.0,600.0,37.5234521575985,4.3,False
"FLiX (Beetel USB to Micro USB PVC Data Sync & 2A Fast Charging Cable, Made in India, 480Mbps Data Sync, Solid Cable, 1 Meter Long USB Cable for Micro USB Devices (White)(XCD-M11)",Computers&Accessories,199.0,59.0,140.0,70.35175879396985,4.0,False
"Wecool Nylon Braided Multifunction Fast Charging Cable For Android Smartphone, Ios And Type C Usb Devices, 3 In 1 Charging Cable, 3A, (3 Feet) (Black)",Computers&Accessories,999.0,333.0,666.0,66.66666666666666,3.3,False
D-Link DWA-131 300 Mbps Wireless Nano USB Adapter (Black),Computers&Accessories,1208.0,507.0,701.0,58.02980132450332,4.1,False
"Amazon Basics High-Speed HDMI Cable, 6 Feet - Supports Ethernet, 3D, 4K video,Black",Electronics,475.0,309.0,166.0,34.94736842105263,4.4,False
7SEVENÂ® Compatible for Samsung Smart 4K Ultra HD TV Monitor Remote Control Replacement of Original Samsung TV Remote for LED OLED UHD QLED and Suitable for 6 7 8 Series Samsung TV with Hot Keys BN59-01259E,Electronics,999.0,399.0,600.0,60.06006006006006,3.6,False
"Amazonbasics Micro Usb Fast Charging Cable For Android Smartphone,Personal Computer,Printer With Gold Plated Connectors (6 Feet, Black)",Computers&Accessories,395.0,199.0,196.0,49.62025316455696,4.2,False
"TP-Link AC600 600 Mbps WiFi Wireless Network USB Adapter for Desktop PC with 2.4GHz/5GHz High Gain Dual Band 5dBi Antenna Wi-Fi, Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier (Archer T2U Plus)",Computers&Accessories,2199.0,1199.0,1000.0,45.47521600727604,4.4,False
"AmazonBasics Micro USB Fast Charging Cable for Android Phones with Gold Plated Connectors (3 Feet, Black)",Computers&Accessories,500.0,179.0,321.0,64.2,4.2,False
"AmazonBasics New Release Nylon USB-A to Lightning Cable Cord, Fast Charging MFi Certified Charger for Apple iPhone, iPad (6-Ft, Rose Gold)",Computers&Accessories,2100.0,799.0,1301.0,61.95238095238095,4.3,False
VW 80 cm (32 inches) Frameless Series HD Ready LED TV VW32A (Black),Electronics,12999.0,6999.0,6000.0,46.157396722824835,4.2,False
"Ambrane Unbreakable 3A Fast Charging Braided Type C Cable    1.5 Meter (RCT15, Blue) Supports QC 2.0/3.0 Charging",Computers&Accessories,349.0,199.0,150.0,42.97994269340974,4.1,False
Tata Sky Universal Remote,Electronics,499.0,230.0,269.0,53.90781563126252,3.7,False
"TP-LINK WiFi Dongle 300 Mbps Mini Wireless Network USB Wi-Fi Adapter for PC Desktop Laptop(Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.9-10.15 and Linux, WPS, Soft AP Mode, USB 2.0) (TL-WN823N),Black",Computers&Accessories,1399.0,649.0,750.0,53.609721229449605,4.2,False
OnePlus 80 cm (32 inches) Y Series HD Ready Smart Android LED TV 32 Y1S (Black),Electronics,21999.0,15999.0,6000.0,27.273966998499933,4.2,False
"Wecool Unbreakable 3 in 1 Charging Cable with 3A Speed, Fast Charging Multi Purpose Cable 1.25 Mtr Long, Type C cable, Micro Usb Cable and Cable for iPhone, White",Computers&Accessories,1499.0,348.0,1151.0,76.78452301534357,4.2,False
